"symbol";"number";"mass"
"1";"H";1;1.00794
"2";"He";2;4.002602
"3";"Li";3;6.941
"4";"Be";4;9.012182
"5";"B";5;10.811
"6";"C";6;12.0107
"7";"N";7;14.0067
"8";"O";8;15.9994
"9";"F";9;18.9994
"10";"Ne";10;20.1797
"11";"Na";11;22.98976928
"12";"Mg";12;24.305
"13";"Al";13;26.9815386
"14";"Si";14;28.0855
"15";"P";15;30.973762
"16";"S";16;32.065
"17";"Cl";17;35.453
"18";"Ar";18;39.948
"19";"K";19;39.0983
"20";"Ca";20;40.078
"21";"Sc";21;44.955912
"22";"Ti";22;47.867
"23";"V";23;50.9415
"24";"Cr";24;51.9961
"25";"Mn";25;54.938045
"26";"Fe";26;55.845
"27";"Co";27;58.933195
"28";"Ni";28;58.6934
"29";"Cu";29;63.546
"30";"Zn";30;65.38
"31";"Ga";31;69.723
"32";"Ge";32;72.64
"33";"As";33;74.9216
"34";"Se";34;78.96
"35";"Br";35;79.904
"36";"Kr";36;83.798
"37";"Rb";37;85.4678
"38";"Sr";38;87.62
"39";"Y";39;88.90585
"40";"Zr";40;91.224
"41";"Nb";41;92.90638
"42";"Mo";42;95.96
"43";"Tc";43;98
"44";"Ru";44;101.07
"45";"Rh";45;102.9055
"46";"Pd";46;106.42
"47";"Ag";47;107.8682
"48";"Cd";48;112.411
"49";"In";49;114.818
"50";"Sn";50;118.71
"51";"Sb";51;121.76
"52";"Te";52;127.6
"53";"I";53;126.90447
"54";"Xe";54;131.293
"55";"Cs";55;132.9054519
"56";"Ba";56;137.327
"57";"La";57;138.90547
"58";"Ce";58;140.116
"59";"Pr";59;140.90765
"60";"Nd";60;144.242
"61";"Pm";61;145
"62";"Sm";62;150.36
"63";"Eu";63;151.964
"64";"Gd";64;157.25
"65";"Tb";65;158.92535
"66";"Dy";66;162.5001
"67";"Ho";67;164.93032
"68";"Er";68;167.259
"69";"Tm";69;168.93421
"70";"Yb";70;173.054
"71";"Lu";71;174.9668
"72";"Hf";72;178.49
"73";"Ta";73;180.94788
"74";"W";74;183.84
"75";"Re";75;186.207
"76";"Os";76;190.23
"77";"Ir";77;192.217
"78";"Pt";78;192.084
"79";"Au";79;196.966569
"80";"Hg";80;200.59
"81";"Tl";81;204.3833
"82";"Pb";82;207.2
"83";"Bi";83;208.980401
"84";"Po";84;210
"85";"At";85;210
"86";"Rn";86;220
"87";"Fr";87;223
"88";"Ra";88;226
"89";"Ac";89;227
"90";"Th";90;232.03806
"91";"Pa";91;231.03588
"92";"U";92;238.02891
"93";"Np";93;237
"94";"Pu";94;244
"95";"Am";95;243
"96";"Cm";96;247
"97";"Bk";97;247
"98";"Cf";98;251
"99";"Es";99;252
"100";"Fm";100;257
"101";"Md";101;258
"102";"No";102;259
"103";"Lr";103;262
"104";"Rf";104;261
"105";"Db";105;262
"106";"Sg";106;266
"107";"Bh";107;264
"108";"Hs";108;277
"109";"Mt";109;268
"110";"Ds";110;271
"111";"Rg";111;272
"112";"Uub";112;285
"113";"Uut";113;284
"114";"Uuq";114;289
"115";"Uup";115;288
"116";"Uuh";116;292
"117";"Uuo";117;294
